Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;Aperture.Image;wh
Bockwinkel et al 2009;Keuppites singulus;;MB.C.19103.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Keuppites ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Keuppites singulus - MB.C.19103.whorl3 - wh(6.4 mm) - Bockwinkel 2009;6,4
Bockwinkel et al 2009;Keuppites singulus;;MB.C.19103.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Keuppites ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Keuppites singulus - MB.C.19103.whorl4 - wh(4.3 mm) - Bockwinkel 2009;4,3
Bockwinkel et al 2009;Keuppites singulus;;MB.C.19103.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Keuppites ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Keuppites singulus - MB.C.19103.whorl5 - wh(3.0 mm) - Bockwinkel 2009;3
Bockwinkel et al 2009;Keuppites singulus;;MB.C.19103.whorl6;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Keuppites ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Keuppites singulus - MB.C.19103.whorl6 - wh(2.0 mm) - Bockwinkel 2009;2
Bockwinkel et al 2009;Pharciceras evolvens;;MB.C.19105.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras evolvens - MB.C.19105.whorl1 - wh(13.2 mm) - Bockwinkel 2009;13,2
Bockwinkel et al 2009;Pharciceras evolvens;;MB.C.19105.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras evolvens - MB.C.19105.whorl2 - wh(10.3 mm) - Bockwinkel 2009;10,3
Bockwinkel et al 2009;Pharciceras evolvens;;MB.C.19105.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras evolvens - MB.C.19105.whorl3 - wh(8.1 mm) - Bockwinkel 2009;8,133333333
Bockwinkel et al 2009;Pharciceras evolvens;;MB.C.19105.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras evolvens - MB.C.19105.whorl4 - wh(5.8 mm) - Bockwinkel 2009;5,8
Bockwinkel et al 2009;Pharciceras evolvens;;MB.C.19105.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras evolvens - MB.C.19105.whorl5 - wh(3.8 mm) - Bockwinkel 2009;2,2
Bockwinkel et al 2009;Pharciceras darkaouense ;;MB.C.19109.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras darkaouense - MB.C.19109.1.whorl1 - wh(20.6 mm) - Bockwinkel 2009;20,6
Bockwinkel et al 2009;Pharciceras darkaouense ;;MB.C.19109.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras darkaouense - MB.C.19109.1.whorl2 - wh(15.1 mm) - Bockwinkel 2009;15,1
Bockwinkel et al 2009;Pharciceras darkaouense ;;MB.C.19109.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras darkaouense - MB.C.19109.1.whorl3 - wh(10.0 mm) - Bockwinkel 2009;10
Bockwinkel et al 2009;Pharciceras darkaouense ;;MB.C.19109.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras darkaouense - MB.C.19109.1.whorl4 - wh(7.8 mm) - Bockwinkel 2009;7,8
Bockwinkel et al 2009;Pharciceras darkaouense ;;MB.C.19109.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras ;Hyatt 1884;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras darkaouense - MB.C.19109.1.whorl5 - wh(5.9 mm) - Bockwinkel 2009;5,9
Bockwinkel et al 2009;Pharciceras kayseri;;MB.C.19110.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Wedekind 1918;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras kayseri - MB.C.19110.1 - whorl1 - wh (24.4 mm) - Bockwinkel 2009;24,4
Bockwinkel et al 2009;Pharciceras kayseri;;MB.C.19110.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Wedekind 1918;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras kayseri - MB.C.19110.1 - whorl2 - wh (18.3 mm) - Bockwinkel 2009;18,3
Bockwinkel et al 2009;Pharciceras kayseri;;MB.C.19110.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Wedekind 1918;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras kayseri - MB.C.19110.1 - whorl3 - wh (15.9 mm) - Bockwinkel 2009;15,9
Bockwinkel et al 2009;Pharciceras kayseri;;MB.C.19110.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Wedekind 1918;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras kayseri - MB.C.19110.2 - whorl1 - wh (13.6 mm) - Bockwinkel 2009;13,6
Bockwinkel et al 2009;Pharciceras kayseri;;MB.C.19110.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Wedekind 1918;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras kayseri - MB.C.19110.2 - whorl2 - wh (10.6 mm) - Bockwinkel 2009;10,6
Bockwinkel et al 2009;Pharciceras kayseri;;MB.C.19110.1.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Wedekind 1918;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras kayseri - MB.C.19110.2 - whorl3 - wh (8.0 mm) - Bockwinkel 2009;8
Bockwinkel et al 2009;Pharciceras kayseri;;MB.C.19110.1.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Wedekind 1918;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Pharciceras kayseri - MB.C.19110.2 - whorl4 - wh (5.9 mm) - Bockwinkel 2009;5,9
Bockwinkel et al 2009;Extropharciceras librum;;MB.C.19111.4.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras librum - MB.C.19111.4.whorl0 - wh(36.7 mm) - Bockwinkel 2009;36,7
Bockwinkel et al 2009;Extropharciceras librum;;MB.C.19111.4.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras librum - MB.C.19111.4.whorl1 - wh(22.1 mm) - Bockwinkel 2009;22,1
Bockwinkel et al 2009;Extropharciceras librum;;MB.C.19111.4.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras librum - MB.C.19111.4.whorl2 - wh(17.0 mm) - Bockwinkel 2009;17
Bockwinkel et al 2009;Extropharciceras librum;;MB.C.19111.4.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras librum - MB.C.19111.4.whorl3 - wh(12.9 mm) - Bockwinkel 2009;12,9
Bockwinkel et al 2009;Extropharciceras librum;;MB.C.19111.4.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras librum - MB.C.19111.4.whorl4 - wh(10.0 mm) - Bockwinkel 2009;10
Bockwinkel et al 2009;Extropharciceras librum;;MB.C.19111.4.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras librum - MB.C.19111.4.whorl5 - wh(7.5 mm) - Bockwinkel 2009;7,5
Bockwinkel et al 2009;Extropharciceras librum;;MB.C.19111.4.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras ;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras librum - MB.C.19111.4.whorl6 - wh(5.7 mm) - Bockwinkel 2009;5,7
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl1 - wh(16.9 mm) - Bockwinkel 2009;16,9
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl2 - wh(12.7 mm) - Bockwinkel 2009;12,7
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl3 - wh(8.5 mm) - Bockwinkel 2009;8,5
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl4 - wh(6.3 mm) - Bockwinkel 2009;6,3
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl5 - wh(5.1 mm) - Bockwinkel 2009;5,1
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl6 - wh(4.1 mm) - Bockwinkel 2009;4,1
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl7 - wh(2.5 mm) - Bockwinkel 2009;2,5
Bockwinkel et al 2009;Extropharciceras conex;;MB.C.19112.3.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;ExtroPharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Extropharciceras conex - MB.C.19112.3.whorl8 - wh(2.3 mm) - Bockwinkel 2009;2,3
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl1 - wh(17.4 mm) - Bockwinkel 2009;17,4
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl2 - wh(13.9 mm) - Bockwinkel 2009;13,9
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl3 - wh(11.0 mm) - Bockwinkel 2009;11
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl4 - wh(8.4 mm) - Bockwinkel 2009;8,4
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl5 - wh(6.7 mm) - Bockwinkel 2009;6,7
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl6 - wh(5.2 mm) - Bockwinkel 2009;5,2
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl7 - wh(4.1 mm) - Bockwinkel 2009;4,1
Bockwinkel et al 2009;Lunupharciceras serpentinum;;MB.C.19115.2.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Lunupharciceras serpentinum - MB.C.19115.2.whorl8 - wh(3.3 mm) - Bockwinkel 2009;3,3
Bockwinkel et al 2009;Stenopharciceras protectum ;;MB.C.19117.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Stenopharciceras protectum - MB.C.19117.1.whorl1 - wh(26.2 mm) - Bockwinkel 2009;26,2
Bockwinkel et al 2009;Stenopharciceras protectum ;;MB.C.19117.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Stenopharciceras protectum - MB.C.19117.1.whorl2 - wh(18.2 mm) - Bockwinkel 2009;18,2
Bockwinkel et al 2009;Stenopharciceras protectum ;;MB.C.19117.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Stenopharciceras protectum - MB.C.19117.1.whorl3 - wh(12.6 mm) - Bockwinkel 2009;12,6
Bockwinkel et al 2009;Stenopharciceras protectum ;;MB.C.19117.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Stenopharciceras protectum - MB.C.19117.1.whorl4 - wh(8.6 mm) - Bockwinkel 2009;8,6
Bockwinkel et al 2009;Stenopharciceras protectum ;;MB.C.19117.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Stenopharciceras protectum - MB.C.19117.1.whorl5 - wh(5.4 mm) - Bockwinkel 2009;5,4
Bockwinkel et al 2009;Stenopharciceras protectum ;;MB.C.19117.1.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Stenopharciceras protectum - MB.C.19117.1.whorl6 - wh(3.7 mm) - Bockwinkel 2009;3,7
Bockwinkel et al 2009;Stenopharciceras protectum ;;MB.C.19117.1.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Stenopharciceras;Montesinos and Henn 1986;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Stenopharciceras protectum - MB.C.19117.1.whorl7 - wh(2.6 mm) - Bockwinkel 2009;2,6
Bockwinkel et al 2009;Synpharciceras spirale;;MB.C.19119.7.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Synpharciceras spirale - MB.C.19119.7.whorl1 - wh(17.7 mm) - Bockwinkel 2009;17,7
Bockwinkel et al 2009;Synpharciceras spirale;;MB.C.19119.7.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Synpharciceras spirale - MB.C.19119.7.whorl2 - wh(12.9 mm) - Bockwinkel 2009;12,9
Bockwinkel et al 2009;Synpharciceras spirale;;MB.C.19119.7.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Synpharciceras spirale - MB.C.19119.7.whorl3 - wh(8.3 mm) - Bockwinkel 2009;8,3
Bockwinkel et al 2009;Synpharciceras spirale;;MB.C.19119.7.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Synpharciceras spirale - MB.C.19119.7.whorl4 - wh(5.9 mm) - Bockwinkel 2009;5,9
Bockwinkel et al 2009;Synpharciceras spirale;;MB.C.19119.7.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Synpharciceras spirale - MB.C.19119.7.whorl5 - wh(3.9 mm) - Bockwinkel 2009;3,9
Bockwinkel et al 2009;Synpharciceras spirale;;MB.C.19119.7.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Synpharciceratinae;Synpharciceras;Schindewolf 1940;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Synpharciceras spirale - MB.C.19119.7.whorl6 - wh(2.9 mm) - Bockwinkel 2009;2,9
Bockwinkel et al 2009;Clariondites tegoideus;;MB.C.19120.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Clariondites;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Clariondites tegoideus - MB.C.19120.whorl1 - wh(31.9 mm) - Bockwinkel 2009;31,9
Bockwinkel et al 2009;Clariondites tegoideus;;MB.C.19120.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Clariondites;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Clariondites tegoideus - MB.C.19120.whorl2 - wh(24.0 mm) - Bockwinkel 2009;24
Bockwinkel et al 2009;Clariondites tegoideus;;MB.C.19120.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Clariondites;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Clariondites tegoideus - MB.C.19120.whorl3 - wh(17.9 mm) - Bockwinkel 2009;17,9
Bockwinkel et al 2009;Clariondites tegoideus;;MB.C.19120.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Clariondites;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Clariondites tegoideus - MB.C.19120.whorl4 - wh(13.7 mm) - Bockwinkel 2009;13,7
Bockwinkel et al 2009;Clariondites tegoideus;;MB.C.19120.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Clariondites;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Clariondites tegoideus - MB.C.19120.whorl5 - wh(9.9 mm) - Bockwinkel 2009;9,9
Bockwinkel et al 2009;Clariondites tegoideus;;MB.C.19120.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Clariondites;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Clariondites tegoideus - MB.C.19120.whorl6 - wh(7.2 mm) - Bockwinkel 2009;7,2
Bockwinkel et al 2009;Clariondites tegoideus;;MB.C.19120.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Petteroceratidae;Petteroceratinae;Clariondites;Bockwinkel et al. 2009;Bockwinkel et al. 2009;Givetian;late Givetian;Synpharciceras clavilobum;Interval 7;Clariondites tegoideus - MB.C.19120.whorl7 - wh(5.2 mm) - Bockwinkel 2009;5,2
