Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Bockwinkel et al 2013 Fossil Record;Taouzites taouzensis;;MB.C.22106.3.whorl5;Agoniatitida;Gephuroceratina;Gephurocerataceae;Taouzitidae;Taouzitinae;Taouzites ;Korn 2001;Termier and Termier 1950;Givetian;late Givetian;Taouzites taouzensis;Interval 7;4,7;3,4;1,6;2,3;1,7;1,3;0,5;0,34;1,92;1,35;0,25
Bockwinkel et al 2013 Fossil Record;Scaturites minutus;;MB.C.22136.5.whorl1;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;12,4;8,1;4;3,5;5,1;4,3;0,28;0,32;2,34;0,69;0,16
Bockwinkel et al 2013 Fossil Record;Scaturites minutus;;MB.C.22136.5.whorl2;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;8,2;5,4;2,7;2,8;3,4;2,8;0,35;0,32;2,31;0,82;0,18
Bockwinkel et al 2013 Fossil Record;Scaturites minutus;;MB.C.22136.5.whorl3;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,4;3,6;2;2;2,2;1,8;0,37;0,37;2,24;0,93;0,17
Bockwinkel et al 2013 Fossil Record;Scaturites minutus;;MB.C.22136.5.whorl4;Agoniatitida;Gephuroceratina;Gephurocerataceae;Acanthoclymeniidae;Acanthoclymeniinae;Scaturites ;Bockwinkel 2013;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;3,6;2,5;1,4;1,4;1,3;1,1;0,38;0,4;2,1;1,05;0,13
Bockwinkel et al 2015 NJGPA;Extropharciceras serum;;MB.C.25105.1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;34,3;24,4;6,9;15,9;15,6;9,9;0,46;0,2;1,98;1,02;0,37
Bockwinkel et al 2015 NJGPA;Extropharciceras serum;;MB.C.25105.5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;29;21,4;5,5;13,3;14,5;7,6;0,46;0,19;1,84;0,92;0,48
Bockwinkel et al 2015 NJGPA;Extropharciceras serum;;MB.C.25105.3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;20,1;14,8;4,5;9,9;9,2;5,3;0,49;0,22;1,84;1,08;0,42
Bockwinkel et al 2015 NJGPA;Extropharciceras gentile;;MB.C.25107.1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;25,3;17,7;6,5;13,1;12;7,6;0,52;0,26;2,04;1,09;0,37
Bockwinkel et al 2015 NJGPA;Extropharciceras gentile;;MB.C.25107.7.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2015;Givetian;late Givetian;Taouzites taouzensis;Interval 7;17,6;13,7;4,7;9,8;7,4;3,9;0,56;0,27;1,65;1,32;0,47
