Reference;Species;Sp.State;Specimen;Order;Suborder;Superfamily;Family;Subfamily;Genus;Genus.Author;Species.Author;Stage;Substage;Biozone;Interval;dm1;dm2;uw;ww;wh;ah;CWI;UWI;WER;WWI;IZR
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.2.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,6;8,7;5,2;6;3;1,9;0,57;0,49;1,48;2;0,37
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.14.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;15,5;11,5;5,5;7,3;6,2;4;0,47;0,35;1,82;1,18;0,35
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.14.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;11,5;9,1;5;6,6;3,8;2,4;0,57;0,43;1,6;1,74;0,37
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.14.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;9,1;7,4;4,3;5,4;2,7;1,7;0,59;0,47;1,51;2;0,37
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.14.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;7,5;6,1;3,7;4,5;2,2;1,4;0,6;0,49;1,52;2,07;0,34
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.14.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6;4,9;3,1;3,6;1,6;1,1;0,6;0,52;1,5;2,25;0,31
Bockwinkel et al 2013 Fossil Record;Extropharciceras applanatum;;MB.C.22116.14.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bensaid 1974;Givetian;late Givetian;Taouzites taouzensis;Interval 7;4,9;4;2,6;2,9;1,3;0,9;0,59;0,53;1,5;2,23;0,31
Bockwinkel et al 2013 Fossil Record;Extropharciceras arenicum;;MB.C.22114.4.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;14,4;10,4;2,8;7,3;7;4;0,51;0,19;1,91;1,05;0,43
Bockwinkel et al 2013 Fossil Record;Extropharciceras arenicum;;MB.C.22114.4.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,4;7,7;2,6;5,7;4,7;2,7;0,55;0,25;1,84;1,23;0,41
Bockwinkel et al 2013 Fossil Record;Extropharciceras arenicum;;MB.C.22114.4.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;7,8;6;2,4;4,7;3;1,8;0,6;0,31;1,69;1,57;0,4
Bockwinkel et al 2013 Fossil Record;Extropharciceras arenicum;;MB.C.22114.4.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2010;Petter 1960;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6;4,6;1,8;3,7;2,4;1,3;0,61;0,3;1,66;1,54;0,44
Bockwinkel et al 2013 Fossil Record;Extropharciceras arenicum;;MB.C.22114.4.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;4,7;3,7;1,7;3;1,7;1;0,64;0,36;1,61;1,76;0,41
Bockwinkel et al 2013 Fossil Record;Extropharciceras arenicum;;MB.C.22114.4.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Petter 1959;Givetian;late Givetian;Taouzites taouzensis;Interval 7;2,3;1,7;0,8;1,5;0,9;0,6;0,65;0,35;1,83;1,67;0,33
Bockwinkel et al 2009 Berliner pal Abh;Extropharciceras n sp 1;;MB.C.19113.4.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;31,4;23,9;7,2;15,2;13,6;7,5;0,48;0,23;1,73;1,12;0,45
Bockwinkel et al 2009 Berliner pal Abh;Extropharciceras n sp 1;;MB.C.19113.4.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;24;18;5,7;13,1;10,6;6;0,55;0,24;1,78;1,24;0,43
Bockwinkel et al 2009 Berliner pal Abh;Extropharciceras n sp 1;;MB.C.19113.4.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;18,2;13,6;5;10,8;7,8;4,6;0,59;0,27;1,8;1,39;0,4
Bockwinkel et al 2009 Berliner pal Abh;Extropharciceras n sp 1;;MB.C.19113.4.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;13,5;10,3;4,8;8,5;5,2;3,2;0,63;0,36;1,72;1,63;0,38
Bockwinkel et al 2009 Berliner pal Abh;Extropharciceras n sp 1;;MB.C.19113.4.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,3;8,2;4,1;7,1;3,5;2,1;0,68;0,4;1,58;2;0,4
Bockwinkel et al 2009 Berliner pal Abh;Extropharciceras n sp 1;;MB.C.19113.4.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;8,2;6,5;3,5;5,5;2,6;1,7;0,67;0,43;1,58;2,09;0,36
Bockwinkel et al 2009 Berliner pal Abh;Extropharciceras n sp 1;;MB.C.19113.4.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Extropharciceras;Bockwinkel et al. 2009;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6,4;5,1;3;4,3;2;1,3;0,67;0,47;1,57;2,19;0,34
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum ;;MB.C.19107.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;48,3;38,3;16,7;19,2;17,3;10;0,4;0,35;1,59;1,11;0,42
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum ;;MB.C.19107.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;38,6;30,3;13;17;14,3;8,3;0,44;0,34;1,62;1,19;0,42
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum ;;MB.C.19107.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;30,3;23,7;10,1;14,9;11;6,6;0,49;0,33;1,63;1,35;0,4
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum ;;MB.C.19107.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;23,7;18,4;8,1;12,6;8,9;5,3;0,53;0,34;1,66;1,42;0,4
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum ;;MB.C.19107.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;18,4;14,5;6,5;10,7;7;4;0,58;0,35;1,62;1,54;0,43
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum ;;MB.C.19107.3.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;14,5;11,6;5,9;9;5;2,9;0,62;0,4;1,57;1,79;0,42
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;33;24,8;10,4;16;13,4;8,2;0,48;0,32;1,77;1,19;0,39
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;24,8;19,1;9;13,5;9,3;5,7;0,54;0,36;1,69;1,45;0,39
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;18,9;14,5;6,7;10,2;7,1;4,4;0,54;0,36;1,7;1,44;0,38
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;15,2;12,4;7,3;9,2;4,4;2,8;0,61;0,48;1,5;2,09;0,36
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras lateseptatum aff;aff;MB.C.19108.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Frech 1902;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,1;8,3;5,2;6,5;2,8;1,8;0,64;0,51;1,48;2,32;0,36
Bockwinkel et al 2013 Fossil Record;Pharciceras decoratum;;MB.C.22107.2.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;12,5;10,3;7,6;6;2,7;2,2;0,48;0,61;1,47;2,22;0,19
Bockwinkel et al 2013 Fossil Record;Pharciceras decoratum;;MB.C.22107.2.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,5;9;6,4;5,2;2,4;1,5;0,49;0,61;1,37;2,17;0,36
Bockwinkel et al 2013 Fossil Record;Pharciceras decoratum;;MB.C.22107.2.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;9;7,7;5,5;4,1;1,8;1,3;0,46;0,61;1,38;2,26;0,27
Bockwinkel et al 2013 Fossil Record;Pharciceras decoratum;;MB.C.22107.2.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;7,7;6,3;4,5;3,3;1,7;1,4;0,43;0,59;1,48;1,93;0,2
Bockwinkel et al 2013 Fossil Record;Pharciceras decoratum;;MB.C.22107.2.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6,3;5,3;3,8;2,9;1,3;1;0,45;0,59;1,4;2,15;0,26
Bockwinkel et al 2013 Fossil Record;Pharciceras decoratum;;MB.C.22107.2.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,3;4,4;3,1;2,4;1,2;1;0,46;0,58;1,48;2;0,21
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;36,4;28,3;15,9;17,1;11,7;8,1;0,47;0,44;1,65;1,46;0,31
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;28,6;22,3;13,3;16,3;9;6,3;0,57;0,46;1,64;1,81;0,3
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;22;17,7;11,3;13;6,1;4,3;0,59;0,51;1,54;2,13;0,3
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;17,9;14,6;8,9;11,2;4,9;3,3;0,63;0,5;1,5;2,28;0,34
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;14,3;11,6;7,6;9,4;3,9;2,7;0,66;0,53;1,52;2,41;0,31
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl6;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;11,9;9,8;6,3;7,7;2,9;2,2;0,65;0,53;1,49;2,63;0,26
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl7;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;9,5;7,7;5,3;6;2,3;1,8;0,63;0,56;1,52;2,61;0,22
Bockwinkel et al 2009 Berliner pal Abh;Pharciceras tridens;;MB.C.19104.1.whorl8;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,1;4,1;2,6;3,1;1,3;1;0,61;0,51;1,55;2,38;0,23
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;14,6;12;7,9;8,4;3,8;2,6;0,58;0,54;1,48;2,21;0,32
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;12,2;9,8;6,9;7,2;3,1;2,4;0,59;0,57;1,55;2,34;0,22
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;9,7;8,1;5,8;5,4;2,2;1,6;0,56;0,6;1,43;2,45;0,27
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;8,2;6,8;4,8;4,5;1,8;1,4;0,55;0,58;1,47;2,5;0,2
Bockwinkel et al 2013 Fossil Record;Pharciceras tridens aff;aff;MB.C.22108.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6,8;5,6;4;3,5;1,6;1,2;0,52;0,59;1,47;2,25;0,24
Bockwinkel et al 2013 Fossil Record;Pharciceras fornix;;MB.C.22110.2.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;19;14;5,3;12,3;8;5;0,65;0,28;1,84;1,54;0,37
Bockwinkel et al 2013 Fossil Record;Pharciceras fornix;;MB.C.22110.2.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;14,6;10,9;4,5;10,4;6;3,7;0,71;0,31;1,79;1,73;0,39
Bockwinkel et al 2013 Fossil Record;Pharciceras fornix;;MB.C.22110.2.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,5;8,2;3,7;7,8;4;2,3;0,74;0,35;1,64;1,95;0,43
Bockwinkel et al 2013 Fossil Record;Pharciceras fornix;;MB.C.22110.2.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;8,7;6,9;3,4;6,5;3;1,7;0,75;0,39;1,56;2,14;0,43
Bockwinkel et al 2013 Fossil Record;Pharciceras fornix;;MB.C.22110.2.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;7;5,5;2,8;5,1;2,3;1,6;0,73;0,4;1,65;2,25;0,32
Bockwinkel et al 2015 NJGPA;Pharciceras fornix aff;aff;MB.C.25100;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;21,9;16,3;6,3;14,8;8,5;5,6;0,68;0,29;1,81;1,74;0,34
Bockwinkel et al 2013 Fossil Record;Pharciceras subconstans;;MB.C.22111.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;15,9;12,1;4,4;10,4;6,2;3,8;0,65;0,28;1,73;1,68;0,39
Bockwinkel et al 2013 Fossil Record;Pharciceras subconstans;;MB.C.22111.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;12,3;9,3;2,8;8,5;5,5;3,1;0,69;0,23;1,78;1,55;0,44
Bockwinkel et al 2013 Fossil Record;Pharciceras subconstans;;MB.C.22111.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;9,1;6,9;2,1;6,8;4;2,2;0,75;0,23;1,74;1,7;0,45
Bockwinkel et al 2013 Fossil Record;Pharciceras subconstans;;MB.C.22111.1.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6,9;5,3;1,8;5,3;3;1,6;0,77;0,26;1,69;1,77;0,47
Bockwinkel et al 2013 Fossil Record;Pharciceras subconstans;;MB.C.22111.1.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;5,3;4;1,4;4;2,1;1,3;0,75;0,26;1,76;1,9;0,38
Bockwinkel et al 2013 Fossil Record;Pharciceras involutum;;MB.C.22113.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;44;32;6,7;14,4;21,2;12;0,33;0,15;1,89;0,68;0,43
Bockwinkel et al 2013 Fossil Record;Pharciceras involutum;;MB.C.22113.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Pharciceras;Hyatt 1884;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;32;22,3;5,1;12,3;16,1;9,7;0,38;0,16;2,06;0,76;0,4
Bockwinkel et al 2013 Fossil Record;Lunupharciceras incisum;;MB.C.22119.3.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;17,3;13,4;8,1;6,1;5,1;3,9;0,35;0,47;1,67;1,2;0,24
Bockwinkel et al 2013 Fossil Record;Lunupharciceras incisum;;MB.C.22119.3.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;13,5;10,4;6,2;5,1;4,2;3,1;0,38;0,46;1,68;1,23;0,25
Bockwinkel et al 2013 Fossil Record;Lunupharciceras incisum;;MB.C.22119.3.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,1;7,8;4,7;3,9;3;2,3;0,39;0,47;1,68;1,3;0,23
Bockwinkel et al 2013 Fossil Record;Lunupharciceras incisum;;MB.C.22119.3.whorl4;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;8,1;6,2;3,6;3,4;2,4;1,9;0,41;0,45;1,7;1,38;0,22
Bockwinkel et al 2013 Fossil Record;Lunupharciceras incisum;;MB.C.22119.3.whorl5;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Bockwinkel et al. 2013;Givetian;late Givetian;Taouzites taouzensis;Interval 7;6,2;4,7;2,7;2,6;2;1,5;0,41;0,44;1,75;1,31;0,22
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl1;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;19,5;14,3;7,5;6,7;6,8;5,2;0,34;0,38;1,86;0,99;0,24
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl2;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;14,8;11;6,2;5,5;5,4;3,8;0,37;0,42;1,8;1,03;0,3
Bockwinkel et al 2013 Fossil Record;Lunupharciceras lunulicosta;;MB.C.22120.1.whorl3;Agoniatitida;Pharciceratina;Pharcicerataceae;Pharciceratidae;Pharciceratinae;Lunupharciceras;Korn and Klug 2002;Sandberger and Sandberger 1850;Givetian;late Givetian;Taouzites taouzensis;Interval 7;10,6;8,2;4,7;3,9;3,3;2,4;0,37;0,44;1,67;1,18;0,27
